,Default,Limit,Sex,Education,Marriage,Age,Debt1,Debt2,Debt3,Debt4,Debt5
136,0,150000,Male,Graduate,Single,27,26729,24200,21614,19000,16842
137,0,210000,Female,University,Married,33,3708,3904,8189,7292,6497
138,1,50000,Female,High_School,Married,51,0,0,0,0,0
139,0,50000,Male,Graduate,Single,24,18125,18475,18430,47886,47783
140,1,240000,Male,Graduate,Single,47,0,0,0,0,0
141,0,180000,Male,University,Single,28,-3084,-84,0,416,0
142,0,50000,Male,University,Single,23,17265,19179,19596,10583,9833
143,0,170000,Male,University,Single,29,-17,0,0,0,0
144,0,20000,Male,Graduate,Single,29,0,2000,0,0,0
145,0,50000,Male,Graduate,Single,28,9038,9041,7195,5815,4913
146,1,170000,Female,University,Single,27,8918,17560,17209,19652,18652
147,0,200000,Male,Graduate,Single,34,54875,127233,80168,88069,168192
148,0,80000,Female,University,Married,23,9943,9744,9898,10205,8872
149,0,260000,Female,Graduate,Married,60,-131,0,0,-1100,-1100
150,0,140000,Male,University,Married,32,53151,58319,59648,65226,74687
151,0,80000,Male,Graduate,Single,25,29826,33951,35087,40476,25744
152,0,350000,Male,Graduate,Single,41,0,0,0,0,0
153,0,280000,Female,University,Married,56,162311,77145,96646,125557,174308
154,0,30000,Female,High_School,Single,26,12706,11584,10935,9927,8706
155,0,140000,Male,Graduate,Married,34,45699,42086,31244,27073,23049
156,0,200000,Female,Graduate,Single,37,90471,89005,87688,86393,98870
157,0,200000,Female,High_School,Single,30,117324,140775,159483,182416,188843
158,1,210000,Male,High_School,Married,45,142427,134455,126199,119369,112426
159,0,50000,Male,High_School,Married,57,13483,13211,12927,11847,12362
160,0,30000,Male,Graduate,Single,41,27121,27579,25968,26718,23953
161,0,50000,Male,University,Single,27,540,216,0,0,0
162,0,290000,Male,High_School,Married,47,0,396,0,0,0
163,0,250000,Female,Graduate,Married,34,153409,150341,147334,151841,138864
164,0,60000,Female,University,Married,46,26256,25655,24534,23408,20803
165,0,110000,Female,Graduate,Single,27,74254,73158,71737,100955,99295
166,0,370000,Male,Graduate,Single,50,0,0,-15,0,-253
167,0,100000,Male,University,Married,27,-258,21581,28006,58824,93681
168,0,90000,Female,University,Married,35,84290,75852,73665,72026,70354
169,0,50000,Female,University,Single,22,27529,27301,26755,27924,27582
170,0,270000,Male,University,Single,37,21641,22344,24598,28534,28397
171,0,300000,Female,Graduate,Single,30,0,0,0,0,-8
172,0,50000,Female,University,Single,22,2725,3115,7308,10650,273
173,1,50000,Female,Graduate,Single,24,-3272,-3272,-2898,-709,-709
174,0,360000,Male,Graduate,Single,29,0,0,0,0,0
175,1,130000,Male,High_School,Married,56,71345,67296,65557,64282,62978
176,0,80000,Male,Graduate,Single,30,1880,1419,438,100,-404
177,0,50000,Male,University,Single,30,22361,20877,29221,46863,47801
178,0,20000,Female,University,Single,22,13406,12534,12630,12020,11410
179,0,80000,Female,University,Married,29,10486,10262,60867,79250,76011
180,0,240000,Male,Graduate,Single,37,0,26279,24605,25331,11578
181,0,80000,Female,High_School,Single,35,14460,15770,14364,8373,-88
182,0,500000,Female,Graduate,Married,47,17881,88834,92967,79983,40606
183,1,60000,Female,University,Married,24,18658,18323,15971,47239,55391
184,0,20000,Male,University,Single,25,-204,1480,11679,11477,10477
185,1,100000,Female,University,Married,38,15448,15868,14768,13723,13961
186,0,360000,Female,Graduate,Single,32,-10,-8,-9,-8,-10
187,1,200000,Female,High_School,Single,47,189915,193028,189386,186936,194733
188,0,130000,Female,University,Married,34,13636,13363,10076,5270,0
189,0,20000,Female,University,Single,31,19727,20219,20835,20461,21087
190,0,310000,Male,Graduate,Single,32,38268,55359,55818,56071,52127
191,1,60000,Female,Graduate,Single,27,21973,22499,21005,20005,19005
192,0,180000,Female,Graduate,Single,29,16701,0,0,0,0
193,0,180000,Female,Graduate,Single,24,0,0,10000,21282,-15780
194,0,50000,Male,University,Married,36,-342,-428,-2014,17250,16114
195,1,50000,Female,Graduate,Single,24,38435,37696,36762,36280,35288
196,0,150000,Female,University,Married,34,0,0,0,0,0
197,0,20000,Female,Graduate,Single,22,18554,-1132,7791,18033,17946
198,0,500000,Female,Graduate,Married,34,0,0,0,0,0
199,1,30000,Female,High_School,Single,22,0,1526,28122,28037,28256
200,0,180000,Female,Graduate,Married,38,0,0,0,0,0
201,0,140000,Male,Graduate,Single,31,10833,19607,17225,17985,2299
202,0,140000,Female,Graduate,Single,26,0,0,-23,0,8000
203,0,120000,Male,University,Single,26,117135,114131,111848,108736,105578
204,0,360000,Female,University,Married,48,140911,167957,184411,226892,222778
205,0,20000,Male,High_School,Married,43,15880,17991,18081,18932,-2008
206,0,100000,Male,Graduate,Married,47,0,0,0,0,0
207,1,210000,Female,University,Married,41,0,0,0,0,0
208,1,80000,Female,University,Single,24,47768,47509,47514,76599,78354
209,0,330000,Female,Graduate,Married,50,0,0,-12,0,-8
210,0,220000,Male,Graduate,Single,24,0,0,0,106470,103917
211,1,210000,Female,Graduate,Married,38,0,0,123,0,0
212,0,40000,Female,High_School,Married,43,29839,31638,35007,36599,37201
213,0,30000,Male,University,Single,39,6032,6736,12992,16079,25072
214,0,470000,Male,University,Single,27,299121,294661,479978,296842,290320
215,0,30000,Male,High_School,Married,42,780,-150,0,0,0
216,1,240000,Female,University,Married,36,-946,-946,-946,-946,-946
217,0,80000,Male,University,Single,36,74745,73235,76616,75034,75401
218,0,110000,Female,High_School,Others,31,60208,60818,70315,74288,80229
219,0,310000,Female,Graduate,Single,38,0,0,0,0,0
220,1,360000,Female,Graduate,Married,40,115738,112845,108790,112157,103468
221,0,330000,Female,High_School,Single,45,317908,323310,321744,323149,322566
222,0,300000,Female,University,Single,35,202951,196464,198827,196623,285249
223,0,320000,Female,University,Single,33,28218,41729,63796,89765,83995
224,1,50000,Female,High_School,Single,37,28756,29249,28894,49181,51537
225,0,170000,Female,Graduate,Single,28,123962,122460,103014,124040,124669
226,0,350000,Male,High_School,Married,44,0,0,0,0,0
227,0,20000,Male,University,Married,37,18341,17974,18105,15902,14902
228,1,50000,Male,University,Single,23,18151,19362,19243,41862,46055
229,0,20000,Female,High_School,Single,24,0,1630,7130,15900,18165
230,0,50000,Female,Graduate,Single,24,297,10147,18418,28935,33706
231,1,20000,Male,University,Single,23,9104,13454,15875,15656,17132
232,0,50000,Male,University,Married,26,44810,0,0,0,0
233,1,190000,Male,University,Single,34,137934,140120,132323,129379,126383
234,0,60000,Female,University,Married,33,18610,19454,19694,19636,34861
235,0,80000,Male,Graduate,Single,35,0,0,0,-5,-6
236,0,150000,Female,University,Single,27,28420,35692,42818,49802,105550
237,0,210000,Female,Graduate,Single,31,0,0,0,0,0
238,1,240000,Female,High_School,Married,50,206685,202375,199634,205492,221553
239,1,140000,Female,University,Others,41,13383,15409,16870,20940,18708
240,0,60000,Female,Graduate,Single,28,0,0,0,0,20650
241,0,50000,Male,Graduate,Single,39,13874,28789,47803,46630,46174
242,0,50000,Female,University,Single,27,28199,27590,27090,26926,25924
243,0,180000,Female,Graduate,Single,32,0,0,0,2821,3032
244,0,30000,Female,Graduate,Single,40,19,19,19,19,-140
245,0,20000,Female,University,Single,40,0,0,17461,17899,18795
246,0,250000,Female,University,Married,75,0,0,0,0,0
247,0,100000,Female,University,Single,27,30481,29847,29237,28237,32669
248,0,330000,Male,Graduate,Single,25,24335,39376,46081,44132,43277
249,0,50000,Male,High_School,Married,46,16484,16154,15831,14831,13831
250,0,50000,Female,University,Single,26,27993,27525,28909,48733,49776
251,0,30000,Male,University,Single,28,0,21046,24404,27911,24501
252,1,140000,Female,University,Single,26,103043,103805,101729,99694,99880
253,0,160000,Female,Graduate,Single,28,71826,0,6222,26052,40737
254,0,400000,Female,University,Single,29,-8,-9,-24,-16,592
255,0,50000,Male,University,Married,25,27514,28539,28948,27948,26948
256,0,140000,Female,University,Married,48,0,0,0,-213,0
257,0,160000,Female,University,Married,33,0,5787,0,-256,0
258,0,100000,Female,High_School,Married,43,0,0,0,0,0
259,1,220000,Male,Graduate,Married,48,156402,166669,163115,192832,203522
260,0,510000,Female,Graduate,Single,29,11374,82264,98776,87592,59404
261,0,50000,Male,University,Single,29,27247,26000,24823,31163,33498
262,0,160000,Female,Graduate,Married,38,0,16578,0,0,0
263,0,230000,Female,Graduate,Single,37,0,0,0,0,-500
264,0,80000,Female,Graduate,Single,37,0,0,0,-9,-9
265,0,150000,Female,University,Married,25,0,0,0,0,0
266,0,10000,Male,High_School,Single,23,9411,8882,8704,7704,6704
267,1,130000,Female,High_School,Single,49,26900,27504,48024,69102,87262
268,0,40000,Female,Graduate,Single,48,34173,33262,33086,32034,32849
269,1,50000,Male,University,Single,27,0,13818,13542,14242,13180
270,0,100000,Male,High_School,Single,32,17117,17841,19097,18970,29510
271,0,120000,Male,Graduate,Married,34,0,450,900,0,632
272,1,260000,Female,Graduate,Single,58,0,0,0,0,0
273,0,200000,Female,University,Single,33,10705,14325,12512,12702,10852
274,1,360000,Female,University,Single,28,0,0,0,0,0
275,0,70000,Female,University,Single,36,12085,11310,26895,55880,64637
276,1,460000,Male,Graduate,Married,40,-10,-10,-13,-13,-13
277,0,50000,Female,Graduate,Single,26,0,0,0,0,0
278,0,50000,Male,High_School,Married,33,19000,19360,19355,48455,48455
279,0,250000,Female,University,Married,31,96299,96871,94029,92609,98594
280,0,30000,Female,Graduate,Single,27,0,0,314,0,1458
281,0,270000,Male,University,Married,44,-95,-150,59519,87468,99126
282,0,180000,Female,High_School,Single,30,67204,100087,118633,140941,145430
283,0,100000,Female,Graduate,Single,28,53265,50831,50311,49600,48483
284,0,230000,Female,High_School,Married,32,94457,93182,89814,87195,83743
285,0,210000,Female,Graduate,Married,46,0,0,0,0,0
286,0,210000,Male,Graduate,Single,38,44549,61663,60683,60743,59528
287,0,440000,Female,University,Married,46,93621,101480,109408,143037,172947
288,1,100000,Female,University,Single,25,49405,67591,67856,68033,68206
289,0,240000,Female,University,Married,46,3311,10765,9765,9605,8605
290,1,280000,Male,Graduate,Single,33,-339603,0,0,0,0
291,1,50000,Female,University,Single,22,0,0,0,0,0
292,0,30000,Male,University,Married,43,1966,2000,1882,1914,1510
293,1,10000,Male,University,Single,27,9789,9593,9401,9560,6720
294,0,130000,Male,Graduate,Single,29,0,0,0,0,0
295,0,200000,Male,Graduate,Single,31,128849,128830,128630,178827,188344
296,0,120000,Female,University,Married,29,0,0,0,-140,0
297,0,210000,Female,University,Married,36,127085,142093,142190,139333,136513
298,0,280000,Female,Graduate,Married,36,29671,29072,28401,59762,58033
299,1,300000,Male,Graduate,Single,34,0,0,12601,0,0
300,0,100000,Male,University,Single,37,62016,64431,64612,64853,94732
301,0,440000,Female,Graduate,Single,36,-162000,0,0,0,0
302,0,50000,Female,High_School,Married,40,13458,12687,11898,10898,48813
303,1,20000,Female,Graduate,Single,25,11510,14061,11824,27820,11764
304,0,200000,Female,Graduate,Single,27,3914,3070,334,0,0
305,0,110000,Female,University,Single,26,400,-1152,1256,-200,0
306,0,500000,Female,University,Married,36,0,0,0,0,-6
307,0,300000,Female,University,Married,27,0,0,0,0,0
308,1,30000,Male,High_School,Married,55,13014,12336,10841,10139,9413
309,0,60000,Female,Graduate,Single,27,-1821,0,0,-217,-8
310,0,400000,Female,University,Married,38,-309,5097,0,0,2600
311,0,180000,Female,University,Married,34,127845,125431,122814,142042,139333
312,0,20000,Male,Graduate,Single,40,12840,10057,10411,13467,10738
313,1,200000,Female,High_School,Married,49,57697,53657,54723,50205,51040
314,0,100000,Male,Graduate,Single,27,5532,16935,28576,32129,50926
315,1,60000,Male,University,Single,23,17346,16999,16659,32312,31312
316,0,110000,Female,University,Single,36,51152,50075,48894,47830,46747
317,0,260000,Female,High_School,Married,53,0,0,0,0,0
318,0,50000,Female,High_School,Married,46,24020,28868,28672,29515,47201
319,0,180000,Male,University,Single,29,-2,-2,-2,-2,-2
320,1,110000,Male,University,Single,29,46115,45862,46647,51908,54098
321,0,340000,Female,Graduate,Single,27,100531,139796,150628,160820,159035
322,0,50000,Male,University,Single,24,6779,5907,3810,2365,1371
323,1,230000,Female,University,Married,28,0,0,1100,0,17116
324,0,360000,Female,University,Single,32,90738,90123,85631,84834,84054
325,0,210000,Male,University,Single,43,34056,40075,37555,0,0
326,1,220000,Female,University,Married,41,0,475,0,325,325
327,1,60000,Female,University,Married,34,28925,29566,26464,27233,24176
328,0,340000,Male,University,Married,55,0,0,0,-21,0
329,0,150000,Male,Graduate,Married,40,105228,103147,96875,100064,97386
330,1,200000,Female,University,Married,37,-107,-791,-127,189,-495
331,1,130000,Female,University,Single,40,9985,9667,9326,11883,9394
332,0,60000,Female,Graduate,Single,28,20317,10973,10754,9754,10232
333,0,400000,Female,University,Married,43,0,0,0,0,0
334,0,20000,Male,Graduate,Single,27,18194,18408,18623,18058,17766
335,0,190000,Female,Graduate,Single,28,153991,150911,147893,144497,141148
336,0,260000,Female,Graduate,Single,30,152108,151762,152114,151988,150246
337,0,140000,Female,University,Single,31,0,0,0,0,0
338,1,50000,Female,University,Married,31,28124,29005,29868,45269,45742
339,0,120000,Female,Graduate,Single,34,-2970,0,0,1276,-369
340,0,240000,Female,University,Single,30,0,0,0,0,0
341,0,50000,Male,University,Single,36,978,0,680,2923,4960
342,0,200000,Female,Graduate,Single,29,24248,19815,0,-25,183
343,0,180000,Male,Graduate,Married,39,-100000,-1005,96295,97063,270713
344,0,180000,Female,Graduate,Single,26,102267,104142,102059,125502,132792
345,0,160000,Female,Graduate,Single,29,154,1182,-2697,-2697,-707
346,0,100000,Female,University,Single,26,1980,900,2542,0,-18
347,1,50000,Female,University,Single,29,39145,37963,43545,48409,46316
348,0,140000,Female,University,Single,31,136174,136448,134579,133754,131350
349,1,30000,Female,University,Single,26,19129,20001,19601,18601,17601
350,0,90000,Male,Graduate,Single,26,0,0,1940,-2260,18932
351,0,200000,Male,Graduate,Married,36,-98614,-4000,-3684,-43583,-23661
352,1,380000,Male,Graduate,Single,30,0,0,0,0,0
353,0,80000,Female,University,Single,43,18719,17345,48042,55901,74925
354,0,50000,Male,High_School,Married,58,18222,18088,17530,18122,15320
355,1,180000,Male,University,Married,45,29627,29219,28881,27650,26941
356,0,240000,Female,University,Single,26,99535,109966,109263,118392,122591
357,0,380000,Male,University,Single,34,164121,165253,169675,158992,170196
358,0,110000,Female,Others,Single,24,80962,79333,77731,76144,74431
359,0,260000,Male,Graduate,Married,34,0,0,-33345,0,0
360,1,500000,Female,University,Single,23,403643,468112,491507,499936,499229
361,0,320000,Female,University,Single,30,71829,71713,70279,69461,68562
362,0,50000,Male,University,Single,32,24500,43650,42777,43562,44741
363,1,110000,Male,Graduate,Married,40,0,0,2000,0,0
364,0,230000,Female,Graduate,Single,35,0,0,0,0,0
365,0,330000,Female,University,Married,56,0,0,0,-19,-9
366,0,50000,Female,University,Married,61,22774,22171,22344,48239,46396
367,0,10000,Male,University,Single,24,1982,2008,2813,1489,1923
368,0,300000,Male,Graduate,Married,40,0,0,0,0,0
369,1,20000,Female,University,Married,32,10353,10528,10700,18535,20010
370,1,180000,Male,University,Married,36,0,0,0,0,0
371,0,160000,Male,Graduate,Single,30,-8000,0,-545,0,0
372,0,90000,Female,Graduate,Single,34,48767,41718,42451,34449,33449
373,0,30000,Male,High_School,Others,54,23943,20339,21721,20352,19798
374,0,180000,Male,Graduate,Married,46,18000,23049,102983,169934,166490
375,0,30000,Male,High_School,Married,58,21437,21000,20580,19529,18528
376,0,30000,Male,University,Married,43,24242,20983,20563,19563,19901
377,0,140000,Female,Graduate,Single,28,-1755,-200,0,3754,446
378,0,210000,Male,Graduate,Single,30,46888,43842,42584,40308,68406
379,1,50000,Male,University,Single,31,9487,8139,9250,12093,13129
380,0,130000,Female,University,Single,29,72654,71201,69767,68372,86580
381,1,50000,Female,University,Married,37,1915,1448,3359,2981,1700
382,0,140000,Male,High_School,Married,36,85050,84616,86859,61502,75372
383,1,170000,Female,University,Single,28,5389,5281,5464,3743,2743
384,0,80000,Male,University,Single,25,0,0,24701,26714,21419
385,0,410000,Female,Others,Married,42,231176,226439,231865,330464,327904
386,0,80000,Female,Graduate,Single,29,0,0,0,0,0
387,1,80000,Male,High_School,Married,73,71518,69370,67146,64545,62131
388,0,150000,Male,University,Married,43,152059,157166,153953,150023,146149
389,1,260000,Male,Graduate,Married,30,-130000,0,291,0,0
390,0,350000,Male,Graduate,Married,38,0,0,0,0,0
391,1,280000,Female,University,Married,39,32305,31659,36024,35297,-2703
392,0,310000,Male,University,Married,44,68619,69090,73207,83707,87589
393,0,140000,Female,University,Single,29,19085,17714,16996,15862,14102
394,0,360000,Male,Graduate,Married,51,0,0,0,0,0
395,0,140000,Female,Graduate,Single,27,136620,136650,136590,133952,134105
396,0,100000,Male,Graduate,Single,38,28368,43011,42151,41151,40151
397,0,50000,Female,University,Single,22,0,0,0,0,0
398,0,210000,Female,University,Married,30,71425,79733,87643,103423,102132
399,0,120000,Female,University,Single,25,117167,114311,108041,109887,116815
400,0,240000,Male,Graduate,Single,29,0,25779,63300,95885,127047
401,0,60000,Female,High_School,Others,42,26523,27268,27703,26703,27603
402,1,150000,Male,Graduate,Single,41,822,0,0,0,-7
403,0,30000,Male,University,Married,48,25090,24588,24096,26096,27096
404,1,160000,Female,Graduate,Single,29,153800,164298,155335,159676,156416
405,0,200000,Male,Graduate,Married,52,-3750,0,0,-77,0
406,0,120000,Female,University,Married,25,0,0,0,0,15393
407,0,500000,Male,Graduate,Married,37,289397,344324,364520,415341,491631
408,0,320000,Female,Graduate,Single,27,50064,49811,51115,50769,51489
409,0,280000,Male,Graduate,Single,31,162036,162182,176301,172650,165646
410,1,60000,Female,Graduate,Single,23,31665,30949,30001,28096,28577
411,0,200000,Female,Graduate,Married,38,-150,-300,0,0,0
412,0,230000,Female,Graduate,Married,32,0,0,-11,0,0
413,1,230000,Female,University,Single,27,4068,8905,10173,12071,12647
414,0,480000,Female,High_School,Married,41,0,0,0,-22,-69
415,0,50000,Female,High_School,Married,35,0,0,0,0,0
416,0,200000,Female,Graduate,Single,31,0,0,0,-5,-2662
417,0,50000,Female,Graduate,Single,30,18990,17450,16695,15686,14262
418,0,50000,Male,University,Married,48,17548,17091,16753,32307,39419
419,1,260000,Female,Graduate,Single,36,0,0,0,0,0
420,0,30000,Male,Graduate,Single,24,29371,27502,26952,25910,24854
421,0,440000,Female,Graduate,Single,29,145908,151950,149964,149499,159128
422,0,230000,Female,University,Single,38,0,0,0,0,0
423,1,200000,Male,University,Married,38,96253,94545,93590,102663,101424
424,0,490000,Female,University,Married,30,183877,190395,198492,194523,187967
425,0,80000,Female,University,Married,32,0,0,0,0,0
426,1,20000,Female,High_School,Single,49,14914,12204,12583,11587,9081
427,1,170000,Female,Graduate,Single,31,0,199,0,0,0
428,0,70000,Male,Graduate,Single,27,28468,481,28801,64955,64936
429,0,210000,Female,University,Single,33,63167,65791,112766,114862,171946
430,0,90000,Female,University,Single,25,74648,73069,71424,69941,68532
